"","X","SEAMAP","DEPTH","FLUORO","SALINITY","TEMP","CRUISE","depth","pressure","density","ID","strat","storm"
"104",2495,"B218",3.2,0.3977,32.03075,28.48685,"SEAMAP",20.0520446096654,3.22295532285984,1020.01915147738,"Q57",3.56532806203063,"Harvey"
"105",2496,"B218",3.4,0.3963,32.35825,28.48015,"SEAMAP",20.0520446096654,3.42439156593527,1020.26790955542,"Q57",3.56532806203063,"Harvey"
"106",2497,"B218",3.6,0.3903,32.6421,28.4711,"SEAMAP",20.0520446096654,3.62582798963544,1020.48473000509,"Q57",3.56532806203063,"Harvey"
"107",2498,"B218",3.8,0.3997,32.78015,28.4645,"SEAMAP",20.0520446096654,3.82726459398547,1020.59135907509,"Q57",3.56532806203063,"Harvey"
"108",2499,"B218",4,0.3842,32.9013,28.45995,"SEAMAP",20.0520446096654,4.02870137896025,1020.6846412639,"Q57",3.56532806203063,"Harvey"
"109",2500,"B218",4.2,0.3802,33.00665,28.45635,"SEAMAP",20.0520446096654,4.23013834455978,1020.76575948686,"Q57",3.56532806203063,"Harvey"
"110",2501,"B218",4.4,0.3948,33.063,28.4548,"SEAMAP",20.0520446096654,4.43157549080917,1020.80942941571,"Q57",3.56532806203063,"Harvey"
"111",2502,"B218",4.6,0.3734,33.112,28.4543,"SEAMAP",20.0520446096654,4.63301281773354,1020.84723906025,"Q57",3.56532806203063,"Harvey"
"112",2503,"B218",4.8,0.3787,33.2777,28.44455,"SEAMAP",20.0520446096654,4.83445032525754,1020.97569109532,"Q57",3.56532806203063,"Harvey"
"113",2504,"B218",5,0.3805,33.5531,28.4209,"SEAMAP",20.0520446096654,5.03588801343141,1021.19108808082,"Q57",3.56532806203063,"Harvey"
"114",2580,"B223",3,0.2068,35.3181,28.41555,"SEAMAP",42.2117647058824,3.02151926043428,1022.51019272005,"Q62",2.71362568616973,"Harvey"
"115",2581,"B223",3,0.2068,35.3181,28.41555,"SEAMAP",44.1136131013306,3.02151926043428,1022.51019272005,"Q62",2.71362568616973,"Harvey"
"116",2582,"B223",3.2,0.2172,35.3181,28.4162,"SEAMAP",42.2117647058824,3.22295532285984,1022.51084032043,"Q62",2.71362568616973,"Harvey"
"117",2583,"B223",3.2,0.2172,35.3181,28.4162,"SEAMAP",44.1136131013306,3.22295532285984,1022.51084032043,"Q62",2.71362568616973,"Harvey"
"118",2584,"B223",3.4,0.2126,35.3185,28.4153,"SEAMAP",42.2117647058824,3.42439156593527,1022.51230061518,"Q62",2.71362568616973,"Harvey"
"119",2585,"B223",3.4,0.2126,35.3185,28.4153,"SEAMAP",44.1136131013306,3.42439156593527,1022.51230061518,"Q62",2.71362568616973,"Harvey"
"120",2586,"B223",3.6,0.2298,35.3178,28.41505,"SEAMAP",42.2117647058824,3.62582798963544,1022.51271936422,"Q62",2.71362568616973,"Harvey"
"121",2587,"B223",3.6,0.2298,35.3178,28.41505,"SEAMAP",44.1136131013306,3.62582798963544,1022.51271936422,"Q62",2.71362568616973,"Harvey"
"122",2588,"B223",3.8,0.2141,35.3177,28.4155,"SEAMAP",42.2117647058824,3.82726459398547,1022.51335786152,"Q62",2.71362568616973,"Harvey"
"123",2589,"B223",3.8,0.2141,35.3177,28.4155,"SEAMAP",44.1136131013306,3.82726459398547,1022.51335786152,"Q62",2.71362568616973,"Harvey"
"124",2590,"B223",4,0.2241,35.3184,28.41665,"SEAMAP",42.2117647058824,4.02870137896025,1022.51436642383,"Q62",2.71362568616973,"Harvey"
"125",2591,"B223",4,0.2241,35.3184,28.41665,"SEAMAP",44.1136131013306,4.02870137896025,1022.51436642383,"Q62",2.71362568616973,"Harvey"
"126",2592,"B223",4.2,0.2184,35.3185,28.4157,"SEAMAP",42.2117647058824,4.23013834455978,1022.51561773685,"Q62",2.71362568616973,"Harvey"
"127",2593,"B223",4.2,0.2184,35.3185,28.4157,"SEAMAP",44.1136131013306,4.23013834455978,1022.51561773685,"Q62",2.71362568616973,"Harvey"
"128",2594,"B223",4.4,0.2241,35.3188,28.4112,"SEAMAP",42.2117647058824,4.43157549080917,1022.51819206273,"Q62",2.71362568616973,"Harvey"
"129",2595,"B223",4.4,0.2241,35.3188,28.4112,"SEAMAP",44.1136131013306,4.43157549080917,1022.51819206273,"Q62",2.71362568616973,"Harvey"
"130",2596,"B223",4.6,0.2133,35.319,28.4108,"SEAMAP",42.2117647058824,4.63301281773354,1022.51933683437,"Q62",2.71362568616973,"Harvey"
"131",2597,"B223",4.6,0.2133,35.319,28.4108,"SEAMAP",44.1136131013306,4.63301281773354,1022.51933683437,"Q62",2.71362568616973,"Harvey"
"132",2598,"B223",4.8,0.2224,35.3192,28.4113,"SEAMAP",42.2117647058824,4.83445032525754,1022.52018431242,"Q62",2.71362568616973,"Harvey"
"133",2599,"B223",4.8,0.2224,35.3192,28.4113,"SEAMAP",44.1136131013306,4.83445032525754,1022.52018431242,"Q62",2.71362568616973,"Harvey"
"134",2600,"B223",5,0.2289,35.3198,28.4107,"SEAMAP",42.2117647058824,5.03588801343141,1022.52169580471,"Q62",2.71362568616973,"Harvey"
"135",2601,"B223",5,0.2289,35.3198,28.4107,"SEAMAP",44.1136131013306,5.03588801343141,1022.52169580471,"Q62",2.71362568616973,"Harvey"
